,author,repo,page_num,state,issue.number,comments_num,comments_url,html_url,labels,title,body
146,healthchecks,healthchecks,3,closed,77,0,https://api.github.com/repos/healthchecks/healthchecks/issues/77/comments,https://github.com/healthchecks/healthchecks/issues/77,[],user has no profile,"for some reason on a fresh local install following the readme and testing with ./manage.py runserver I get ""user has no profile"" when logging in for the first time.

am I missing something or is this a bug?

```
Environment:


Request Method: GET
Request URL: http://healthchecks.***.**/

Django Version: 1.9
Python Version: 3.4.3
Installed Applications:
('django.contrib.admin',
 'django.contrib.auth',
 'django.contrib.contenttypes',
 'django.contrib.humanize',
 'django.contrib.sessions',
 'django.contrib.messages',
 'django.contrib.staticfiles',
 'compressor',
 'djmail',
 'hc.accounts',
 'hc.api',
 'hc.front',
 'hc.payments')
Installed Middleware:
('django.contrib.sessions.middleware.SessionMiddleware',
 'django.middleware.common.CommonMiddleware',
 'django.middleware.csrf.CsrfViewMiddleware',
 'django.contrib.auth.middleware.AuthenticationMiddleware',
 'django.contrib.auth.middleware.SessionAuthenticationMiddleware',
 'django.contrib.messages.middleware.MessageMiddleware',
 'django.middleware.clickjacking.XFrameOptionsMiddleware',
 'django.middleware.security.SecurityMiddleware',
 'hc.accounts.middleware.TeamAccessMiddleware')



Traceback:

File ""/www/sites/healthchecks.telsys.no/hc-venv/lib/python3.4/site-packages/django/core/handlers/base.py"" in get_response
  123.                 response = middleware_method(request)

File ""/www/sites/healthchecks.telsys.no/healthchecks/hc/accounts/middleware.py"" in process_request
  13.         profile = request.user.profile

File ""/www/sites/healthchecks.telsys.no/hc-venv/lib/python3.4/site-packages/django/utils/functional.py"" in inner
  205.         return func(self._wrapped, *args)

File ""/www/sites/healthchecks.telsys.no/hc-venv/lib/python3.4/site-packages/django/db/models/fields/related_descriptors.py"" in __get__
  355.                     self.related.get_accessor_name()

Exception Type: RelatedObjectDoesNotExist at /
Exception Value: User has no profile.
```
"
349,healthchecks,healthchecks,3,closed,77,0,https://api.github.com/repos/healthchecks/healthchecks/issues/77/comments,https://github.com/healthchecks/healthchecks/issues/77,[],user has no profile,"for some reason on a fresh local install following the readme and testing with ./manage.py runserver I get ""user has no profile"" when logging in for the first time.

am I missing something or is this a bug?

```
Environment:


Request Method: GET
Request URL: http://healthchecks.***.**/

Django Version: 1.9
Python Version: 3.4.3
Installed Applications:
('django.contrib.admin',
 'django.contrib.auth',
 'django.contrib.contenttypes',
 'django.contrib.humanize',
 'django.contrib.sessions',
 'django.contrib.messages',
 'django.contrib.staticfiles',
 'compressor',
 'djmail',
 'hc.accounts',
 'hc.api',
 'hc.front',
 'hc.payments')
Installed Middleware:
('django.contrib.sessions.middleware.SessionMiddleware',
 'django.middleware.common.CommonMiddleware',
 'django.middleware.csrf.CsrfViewMiddleware',
 'django.contrib.auth.middleware.AuthenticationMiddleware',
 'django.contrib.auth.middleware.SessionAuthenticationMiddleware',
 'django.contrib.messages.middleware.MessageMiddleware',
 'django.middleware.clickjacking.XFrameOptionsMiddleware',
 'django.middleware.security.SecurityMiddleware',
 'hc.accounts.middleware.TeamAccessMiddleware')



Traceback:

File ""/www/sites/healthchecks.telsys.no/hc-venv/lib/python3.4/site-packages/django/core/handlers/base.py"" in get_response
  123.                 response = middleware_method(request)

File ""/www/sites/healthchecks.telsys.no/healthchecks/hc/accounts/middleware.py"" in process_request
  13.         profile = request.user.profile

File ""/www/sites/healthchecks.telsys.no/hc-venv/lib/python3.4/site-packages/django/utils/functional.py"" in inner
  205.         return func(self._wrapped, *args)

File ""/www/sites/healthchecks.telsys.no/hc-venv/lib/python3.4/site-packages/django/db/models/fields/related_descriptors.py"" in __get__
  355.                     self.related.get_accessor_name()

Exception Type: RelatedObjectDoesNotExist at /
Exception Value: User has no profile.
```
"
2634,nitely,Spirit,3,closed,62,3,https://api.github.com/repos/nitely/Spirit/issues/62/comments,https://github.com/nitely/Spirit/issues/62,[],"RelatedObjectDoesNotExist while integrating Spirit to existing project: ""User has no st.""","Hi!
I'm trying to add the latest version of spirit to an existing project. I installed the dependencies and all, but when I run the server, I get a «RelatedObjectDoesNotExist» - User has no st on every page.

It appears that it is because I already have users in my database, so I'm going to add them a placeholder UserProfile via the manage.py shell…

But is there a more efficient/recommended/documented way to do it?
"
2769,mirumee,saleor,2,closed,4166,2,https://api.github.com/repos/mirumee/saleor/issues/4166/comments,https://github.com/mirumee/saleor/pull/4166,"[{""default"": true, ""name"": ""bug"", ""url"": ""https://api.github.com/repos/mirumee/saleor/labels/bug"", ""color"": ""fc2929"", ""node_id"": ""MDU6TGFiZWwyODE5MjMzMQ=="", ""id"": 28192331}, {""default"": false, ""name"": ""storefront 1.0"", ""url"": ""https://api.github.com/repos/mirumee/saleor/labels/storefront%201.0"", ""color"": ""fbca04"", ""node_id"": ""MDU6TGFiZWw0NTQyMjEwOTQ="", ""id"": 454221094}]",Adding a non existent variant to a checkout no longer crashes,"This fixes this error:
```
File ""/Users/Development/saleor/saleor/product/views.py"" in product_add_to_checkout
  144.     if form.is_valid():

File ""/Users/Development/saleor-venv/lib/python3.7/site-packages/django/forms/forms.py"" in is_valid
  185.         return self.is_bound and not self.errors

File ""/Users/Development/saleor-venv/lib/python3.7/site-packages/django/forms/forms.py"" in errors
  180.             self.full_clean()

File ""/Users/Development/saleor-venv/lib/python3.7/site-packages/django/forms/forms.py"" in full_clean
  382.         self._clean_form()

File ""/Users/Development/saleor-venv/lib/python3.7/site-packages/django/forms/forms.py"" in _clean_form
  409.             cleaned_data = self.clean()

File ""/Users/Development/saleor/saleor/checkout/forms.py"" in clean
  93.             line = self.checkout.get_line(variant)

File ""/Users/Development/saleor/saleor/checkout/models.py"" in get_line
  125.         return next(matching_lines, None)

File ""/Users/Development/saleor/saleor/checkout/models.py"" in <genexpr>
  124.         matching_lines = (line for line in self if line.variant.pk == variant.pk)

Exception Type: AttributeError at /en/products/white-parrot-cushion-86/add/
Exception Value: 'NoneType' object has no attribute 'pk'
```

Note: I checked, no override is raising such exception (""ObjectDoesNotExist"") they are only returning the form field that already resolved the variant.

### Screenshots

<!-- If your changes affect the UI, providing ""before"" and ""after"" screenshots will
greatly reduce the amount of work needed to review your work. -->

### Pull Request Checklist

<!-- Please keep this section. It will make maintainer's life easier. -->

1. [ ] Privileged views and APIs are guarded by proper permission checks.
1. [ ] All visible strings are translated with proper context.
1. [ ] All data-formatting is locale-aware (dates, numbers, and so on).
1. [ ] Database queries are optimized and the number of queries is constant.
1. [ ] Database migration files are up to date.
1. [x] The changes are tested.
1. [ ] The code is documented (docstrings, project documentation).
1. [ ] GraphQL schema and type definitions are up to date.
1. [x] Changes are mentioned in the changelog.
"
2915,mirumee,saleor,4,closed,3960,17,https://api.github.com/repos/mirumee/saleor/issues/3960/comments,https://github.com/mirumee/saleor/issues/3960,[],Django related model issue,"after running the project and trying to access it, got the following traceback

File ""/home/asif/upwork/viets/saleor/core/views.py"", line 18, in home
    request.site.settings.homepage_collection)[:8]
  File ""/usr/local/lib/python3.6/dist-packages/django/db/models/fields/related_descriptors.py"", line 415, in __get__
    self.related.get_accessor_name()
django.contrib.sites.models.Site.settings.RelatedObjectDoesNotExist: Site has no settings.
"
3520,mirumee,saleor,10,closed,3259,9,https://api.github.com/repos/mirumee/saleor/issues/3259/comments,https://github.com/mirumee/saleor/issues/3259,[],Webpage Error at first level,"### What I'm trying to achieve
I have done setup for saleor on Google Cloud Centos7 linux instance. I followed all instructions for installation of saleor  from https://docs.getsaleor.com/en/latest/gettingstarted/installation-linux.html. 
Now I run the server on console.

(saleorenv) [bete-2@e-commerce saleor]$ sudo python3.6 manage.py runserver 0.0.0.0:80
Performing system checks...

System check identified no issues (0 silenced).
November 09, 2018 - 02:00:49
Django version 2.1.3, using settings 'saleor.settings'
Starting development server at http://0.0.0.0:80/
Quit the server with CONTROL-C.


### Steps to reproduce the problem
1. open www.jakheera.com 
2. you can see 

Request Method: | GET
-- | --
http://www.jakheera.com/en/
2.1.3
**RelatedObjectDoesNotExist**
**Site has no settings.**
/usr/lib64/python3.6/site-packages/django/db/models/fields/related_descriptors.py in __get__, line 414
/bin/python3.6
3.6.5
['/home/simpy.sri/saleor/saleor',  '/usr/lib64/python36.zip',  '/usr/lib64/python3.6',  '/usr/lib64/python3.6/lib-dynload',  '/usr/lib64/python3.6/site-packages',  '/usr/lib/python3.6/site-packages',  '/home/simpy.sri/saleor/saleor']
Fri, 9 Nov 2018 02:00:59 -0600

 

### What I expected to happen
… Default Home page

### Screenshots
<!-- If applicable, add screenshots to help explain your problem. -->
 **pls visit www.jakheera.com for viewing the bug.**

**System information**
Operating system: CentOS7
Browser: Chrome 67
"
5688,mirumee,saleor,31,closed,910,1,https://api.github.com/repos/mirumee/saleor/issues/910/comments,https://github.com/mirumee/saleor/issues/910,"[{""default"": true, ""name"": ""bug"", ""url"": ""https://api.github.com/repos/mirumee/saleor/labels/bug"", ""color"": ""fc2929"", ""node_id"": ""MDU6TGFiZWwyODE5MjMzMQ=="", ""id"": 28192331}]",Error when adding an attribute,"Hi,

I installed a fresh version of Saleor and then tried to add a new attribute. But it failed with the following error:

Exception Type: RelatedObjectDoesNotExist at /dashboard/products/attributes/add/
Exception Value: AttributeChoiceValue has no attribute.

I can provide more detailed log if needed.

Thanks"
6108,mirumee,saleor,36,closed,476,6,https://api.github.com/repos/mirumee/saleor/issues/476/comments,https://github.com/mirumee/saleor/issues/476,[],adding stock to product,"Trying out saleor and having some issues setting up the stock on a product.  I suspect that something isn't installed properly or i'm using the wrong version of something.  First I get this error on startup.  The site comes up and I can add products and view cart ect..

```
saleor/.env/local/lib/python2.7/site-packages/model_utils/managers.py:105: RemovedInDjango110Warning: 'get_all_related_objects is an unofficial API that has been deprecated. You may be able to replace it with 'get_fields()'
  rel for rel in model._meta.get_all_related_objects()

/media/storage/home/kirk/projects/saleor/.env/local/lib/python2.7/site-packages/materializecssform/templatetags/materializecss.py:53: RemovedInDjango110Warning: render() must be called with a dict, not a Context.
  return template.render(context)
```

using this url http://127.0.0.1:8000/dashboard/products/1/stock/add/
which calls into 
saleor/saleor/dashboard/product/views.py  

in stock_edit where stock = Stock() is called I get exception

```
  File ""/media/storage/home/kirk/projects/saleor/.env/local/lib/python2.7/site-packages/django/db/models/base.py"", line 459, in __repr__
    u = six.text_type(self)
  File ""/media/storage/home/kirk/projects/saleor/saleor/product/models/base.py"", line 272, in __str__
    return '%s - %s' % (self.variant.name, self.location)
  File ""/media/storage/home/kirk/projects/saleor/.env/local/lib/python2.7/site-packages/django/db/models/fields/related_descriptors.py"", line 179, in __get__
    ""%s has no %s."" % (self.field.model.__name__, self.field.name)
RelatedObjectDoesNotExist: Stock has no variant.
```

```
product_pk  u'1'
product <saleor.product.models.base.Product(pk=1, name=u'cats')>
request <WSGIRequest: GET '/dashboard/products/1/stock/add/'>
stock_pk    None
stock   Error in formatting: RelatedObjectDoesNotExist: Stock has no variant.
```

After attempting to add stock the page flashes and nothing happens.

```
Babel==2.2.0
BabelDjango==0.2.2
Django==1.9.2
Markdown==2.6.5
Pillow==3.1.1
PyJWT==1.4.0
Unidecode==0.04.19
argparse==1.2.1
boto==2.39.0
braintree==3.24.0
cffi==1.5.0
cryptography==1.2.2
cssselect==0.9.1
cssutils==1.0.1
dj-database-url==0.4.0
dj-email-url==0.0.4
django-absolute==0.3
django-bootstrap3==6.2.2
django-cache-url==1.0.0
django-countries==3.4.1
django-emailit==0.2.2
django-materializecss-form==1.0.1
django-model-utils==2.4
django-mptt==0.8.0
django-offsite-storage==0.0.8
django-payments==0.9.1
django-prices==0.4.11
django-redis==4.3.0
django-selectable==0.9.0
django-versatileimagefield==1.3
djangorestframework==3.3.2
enum34==1.1.2
fake-factory==0.5.3
funcsigs==0.4
google-i18n-address==1.0.7
google-measurement-protocol==0.1.5
idna==2.0
ipaddr==2.1.11
ipaddress==1.0.16
jsonfield==1.0.3
lxml==3.5.0
maxminddb==1.2.0
maxminddb-geolite2==2015.0708
mock==1.3.0
pbr==1.8.1
premailer==2.9.7
prices==0.5.7
psycopg2==2.6.1
purl==1.2
py==1.4.31
pyasn1==0.1.9
pycparser==2.14
pytest==2.8.7
pytest-django==2.9.1
pytz==2015.7
redis==2.10.5
requests==2.9.1
satchless==1.1.3
six==1.10.0
stripe==1.29.1
suds-jurko==0.6
uWSGI==2.0.12
wsgiref==0.1.2
xmltodict==0.9.2

```
"
10191,django-oscar,django-oscar,3,closed,2873,1,https://api.github.com/repos/django-oscar/django-oscar/issues/2873/comments,https://github.com/django-oscar/django-oscar/issues/2873,"[{""default"": false, ""name"": ""\u2601 Bug"", ""url"": ""https://api.github.com/repos/django-oscar/django-oscar/labels/%E2%98%81%20Bug"", ""color"": ""F8C1C1"", ""node_id"": ""MDU6TGFiZWw5NzM0NA=="", ""id"": 97344}]",RelatedObjectDoesNotExist at /en-gb/basket/ Line has no basket.,"### Issue Summary
`RelatedObjectDoesNotExist at /en-gb/basket/ Line has no basket.`
Occurs when updating a basket across multiple tabs. 

### Steps to Reproduce

The issue comes down to having the basket open in two tabs. To reproduce:

1. Add items to the basket and open the basket page in two tabs.
2. Remove an item from the basket in one of the tabs.
3. Try to update that same item in the other tab.

### Technical details

* Python version: 3.7.1
* Django version: 2.1
* Oscar version: 2.0dev0
"
10281,django-oscar,django-oscar,4,closed,2770,1,https://api.github.com/repos/django-oscar/django-oscar/issues/2770/comments,https://github.com/django-oscar/django-oscar/issues/2770,[],Oscar Basket django.db.models RelatedObjectDoesNotExist : Line has no basket,"Django db error when updating basket line.

### Issue Summary

I have added extra fields in StockRecord model, same fields is added in basket line model.
i have saved the extra field in db and use it to calculate final total of basket line.

but due to no reason the following error is coming at update function

**django.db.models.fields.related_descriptors.RelatedObjectDoesNotExist: Line has no basket.**

Hope i got some help
"
