repo,author,page_num,state,issue.number,comments_num,comments_url,html_url,labels,title,body
Misago,rafalp,1179,1179,1179,1179,1179,1179,1179,1179,880
Spirit,nitely,231,231,231,231,231,231,231,231,211
awx,ansible,3449,3449,3449,3449,3449,3449,3449,3449,3254
bootcamp,vitorfs,185,185,185,185,185,185,185,185,170
django-blog-zinnia,Fantomas42,529,529,529,529,529,529,529,529,507
django-csp-reports,adamalton,37,37,37,37,37,37,37,37,30
django-jet,geex-arts,179,179,179,179,179,179,179,179,157
django-oscar,django-oscar,2943,2943,2943,2943,2943,2943,2943,2943,2653
django-react-redux-base,Seedstars,105,105,105,105,105,105,105,105,91
django-realworld-example-app,gothinkster,10,10,10,10,10,10,10,10,10
django-rest-auth,Tivix,388,388,388,388,388,388,388,388,338
django-rest-framework-jwt,GetBlimp,320,320,320,320,320,320,320,320,297
django-shop,awesto,703,703,703,703,703,703,703,703,516
djangoproject.com,django,856,856,856,856,856,856,856,856,691
drum,stephenmcd,51,51,51,51,51,51,51,51,44
healthchecks,healthchecks,472,472,472,472,472,472,472,472,422
repo,author,10,10,10,10,10,10,10,10,10
saleor,mirumee,3885,3885,3885,3885,3885,3885,3885,3885,3662
taiga-back,taigaio,1081,1081,1081,1081,1081,1081,1081,1081,644
